fecha;PM2,5;PM10;SO2;NO2;NOX;NO;CO;O3;Radiación Global;Presión Atmosférica;Precipitaciones;H(%);T°;Dirección del Viento;Velocidad del Viento;nombre_estacion;rango;ica;episodio;temperatura;humedad;presion;viento
2019/05/02 08:00:00.000;1;11;;;;;;;5.3;995.3;0.1;0.8;15.9;159.1;0.4;Ñielol            ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;15;100;1006;22.2
2019/05/02 08:00:00.000;15;17;;11.2;20.6;;0.2;;;998;0;99.1;15.4;324.4;1;Padre Las Casas II;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;15;100;1006;22.2
2019/05/02 08:00:00.000;4;5;;;;;2.2;;;1000.6;0.1;100;14.8;337.6;1.6;Las Encinas       ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;15;100;1006;22.2
2019/05/02 09:00:00.000;1;7;;;;;;;12.8;995.9;0.5;0.8;15.8;211.4;0.9;Ñielol            ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;15;100;1007;20.4
2019/05/02 09:00:00.000;18;24;;12.3;19.8;;0.1;;;998.5;0;99.8;15.2;327.6;1.7;Padre Las Casas II;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;15;100;1007;20.4
2019/05/02 09:00:00.000;6;10;;;;;2;;;1000.9;0.4;100;14.7;335.5;2.4;Las Encinas       ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;15;100;1007;20.4
2019/05/02 10:00:00.000;1;15;;;;;;;41;995.2;0.1;0.8;15.9;198.3;0.4;Ñielol            ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;15;100;1007;18.5
2019/05/02 10:00:00.000;24;29;;10.9;17.6;;0.2;;;998;0;99.5;15.4;331.9;0.8;Padre Las Casas II;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;15;100;1007;18.5
2019/05/02 10:00:00.000;10;15;;;;;2;;;1000.5;0.1;100;14.8;316.3;1.1;Las Encinas       ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;15;100;1007;18.5
2019/05/02 11:00:00.000;9;15;;;;;;;19.3;995.7;0.4;0.8;16.1;246.6;0.3;Ñielol            ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;16;93.8;1007;18.5
